Material,Purchase Order,Posting Date,Tons Received
61095,68000504,2020-02-13,233.351629
61096,68000504,2020-02-13,49.670075
61097,68000504,2020-02-13,10.407775
61099,68000504,2020-02-13,49.301098
61101,68000504,2020-02-13,74.642176
61115,68000494,2020-02-13,5.338064
61115,68000496,2020-02-13,18.744057
61183,68000496,2020-02-13,17.38403
61225,68000490,2020-02-13,34.619949
61566,68000496,2020-02-13,40.82176
61610,68000490,2020-02-13,17.451324
61610,68000490,2020-02-13,5.046853
61862,68000496,2020-02-13,22.019958
61891,68000496,2020-02-13,7.021768
61930,68000504,2020-02-13,56.066395
61930,68000504,2020-02-13,37.74746
61931,68000504,2020-02-13,39.010167
61931,68000504,2020-02-13,59.437216
61940,68000496,2020-02-13,22.018032
62020,68000504,2020-02-13,309.62462
61014,68000496,2020-02-17,63.83942
61016,68000496,2020-02-17,31.62612
61103,68000504,2020-02-17,12.697776
61264,68000497,2020-02-17,31.244281
61417,68000497,2020-02-17,19.308752
61502,68000497,2020-02-17,19.458432
61566,68000496,2020-02-17,84.60118
61931,68000488,2020-02-17,2.922598
62040,68000505,2020-02-17,33.78097
62040,68000505,2020-02-17,15.065386
61083,68000504,2020-02-18,8.748579
61122,68000486,2020-02-18,19.281199
61130,68000497,2020-02-18,30.749712
61130,68000486,2020-02-18,6.430662
61500,68000497,2020-02-18,45.630942
61500,68000495,2020-02-18,2.656822
18193,68000499,2020-02-19,59.922
50666,68000499,2020-02-19,6.615
53265,68000499,2020-02-19,2.728
60136,68000499,2020-02-19,2.774
60720,68000499,2020-02-19,13.8
60810,68000499,2020-02-19,9.015
61660,68000499,2020-02-19,44.581
60051,68000489,2020-02-20,151.46
60139,68000499,2020-02-20,199.862
60232,68000489,2020-02-20,36.181
60811,68000499,2020-02-20,107.263
61053,68000496,2020-02-20,9.62325
61080,68000489,2020-02-20,102.848
61783,69000516,2020-02-20,7.638
61783,69000516,2020-02-20,10.075
60720,68000499,2020-02-21,53.973
61085,68000504,2020-02-21,14.717565
61122,68000507,2020-02-21,11.487189
61136,68000506,2020-02-21,26.042112
61137,68000506,2020-02-21,20.649565
61316,68000500,2020-02-21,6.870353
61345,68000506,2020-02-21,13.878687
61500,68000507,2020-02-21,7.642026
61505,68000508,2020-02-21,17.772105
61505,68000508,2020-02-21,15.62301
61508,68000506,2020-02-21,19.339306
61514,68000507,2020-02-21,18.216198
61591,68000503,2020-02-21,2.102576
61591,68000503,2020-02-21,2.102576
61592,68000503,2020-02-21,2.610832
61912,68000510,2020-02-21,46.489895
61913,68000507,2020-02-21,69.880523
61913,68000510,2020-02-21,185.884252
61913,68000507,2020-02-21,2.484754
61913,68000507,2020-02-21,22.450312
61930,68000512,2020-02-21,103.009007
61931,68000512,2020-02-21,19.490264
61931,68000512,2020-02-21,78.31865
62040,68000513,2020-02-21,4.9204164
62050,68000500,2020-02-21,4.915491
62052,68000510,2020-02-21,10.717548
62052,68000510,2020-02-21,39.97948
62052,68000510,2020-02-21,18.775076
62052,68000507,2020-02-21,10.705457
62052,68000507,2020-02-21,21.467517
62060,68000503,2020-02-21,2.457952
61139,68000498,2020-02-24,27.581925
61140,68000498,2020-02-24,23.499175
61313,68000500,2020-02-24,19.779333
61316,68000500,2020-02-24,27.710676
61509,68000498,2020-02-24,20.361425
61591,68000503,2020-02-24,2.102576
61592,68000503,2020-02-24,10.36896
62050,68000500,2020-02-24,59.418499
62050,68000500,2020-02-24,7.059528
62060,68000503,2020-02-24,4.880736
61580,68000508,2020-02-25,32.084416
61640,68000494,2020-02-25,2.387392
61881,68000501,2020-02-25,49.628
61900,68000501,2020-02-25,25.476
62050,68000508,2020-02-25,5.144755
62060,68000508,2020-02-25,17.202752
61055,68000496,2020-02-26,18.958485
62040,68000513,2020-02-26,49.204164
61046,68000496,2020-02-27,2.70903
61264,68000486,2020-02-27,6.207203
61276,68000496,2020-02-27,2.479568
61417,68000497,2020-02-27,11.06034
61580,68000496,2020-02-27,6.8264
61941,68000496,2020-02-27,15.211869
61940,68000490,2020-02-28,2.928055
61001,68000510,2020-03-02,10.320905
61001,68000510,2020-03-02,2.540419
61001,68000510,2020-03-02,7.680022
61001,68000507,2020-03-02,2.749236
61083,68000504,2020-03-02,5.882296
61084,68000504,2020-03-02,54.596066
61096,68000504,2020-03-02,9.8805
61099,68000512,2020-03-02,15.51718
61101,68000512,2020-03-02,2.738932
61122,68000507,2020-03-02,5.699239
61122,68000510,2020-03-02,125.240451
61122,68000507,2020-03-02,17.161634
61122,68000510,2020-03-02,10.981649
61122,68000510,2020-03-02,18.965317
61130,68000510,2020-03-02,48.189393
61130,68000510,2020-03-02,18.339188
61130,68000510,2020-03-02,5.973905
61139,68000506,2020-03-02,27.64055
61140,68000506,2020-03-02,24.055675
61313,68000508,2020-03-02,11.494273
61313,68000511,2020-03-02,17.327464
61316,68000508,2020-03-02,2.465715
61316,68000508,2020-03-02,27.143795
61320,68000508,2020-03-02,19.360089
61320,68000508,2020-03-02,5.572532
61341,68000511,2020-03-02,40.98003
61345,68000509,2020-03-02,10.688828
61500,68000507,2020-03-02,10.093573
61500,68000507,2020-03-02,19.882695
61500,68000510,2020-03-02,123.530631
61500,68000510,2020-03-02,50.069068
61505,68000508,2020-03-02,2.24718
61505,68000511,2020-03-02,74.75637
61507,68000511,2020-03-02,11.096865
61509,68000506,2020-03-02,17.35685
61580,68000508,2020-03-02,6.837824
61580,68000511,2020-03-02,327.422928
61591,68000511,2020-03-02,341.960192
61592,68000503,2020-03-02,2.610832
61913,68000507,2020-03-02,5.022687
61930,68000512,2020-03-02,5.356634
61930,68000512,2020-03-02,5.285586
61931,68000512,2020-03-02,13.979764
61931,68000512,2020-03-02,8.379598
61931,68000504,2020-03-02,2.87081
62040,68000505,2020-03-02,2.090459
62050,68000508,2020-03-02,7.973847
62050,68000508,2020-03-02,5.182751
62051,68000511,2020-03-02,54.838095
62052,68000507,2020-03-02,5.363803
62052,68000510,2020-03-02,7.978562
62060,68000511,2020-03-02,27.437424
62060,68000511,2020-03-02,227.432016
62060,68000508,2020-03-02,2.466464
61001,68000507,2020-03-03,13.62865
61085,68000512,2020-03-03,15.61198
61093,68000512,2020-03-03,241.41488
61094,68000512,2020-03-03,147.416913
61095,68000512,2020-03-03,181.299202
61122,68000507,2020-03-03,11.521321
61137,68000498,2020-03-03,14.373225
61139,68000509,2020-03-03,5.61295
61140,68000509,2020-03-03,12.0218
61345,68000509,2020-03-03,8.10133
61500,68000507,2020-03-03,42.962367
61508,68000498,2020-03-03,31.081218
61508,68000509,2020-03-03,7.021068
62020,68000512,2020-03-03,98.816765
18193,68000499,2020-03-04,129.077
61085,68000512,2020-03-04,91.091955
61093,68000512,2020-03-04,183.077664
62020,68000512,2020-03-04,85.258065
60463,68000497,2020-03-06,5.55625
61001,68000507,2020-03-06,5.422802
61001,68000510,2020-03-06,7.722365
61001,68000510,2020-03-06,10.207239
61001,68000507,2020-03-06,2.681133
61045,68000516,2020-03-06,57.525752
61080,68000514,2020-03-06,34.381
61122,68000510,2020-03-06,8.184113
61122,68000510,2020-03-06,5.729668
61122,68000507,2020-03-06,2.889467
61130,68000510,2020-03-06,6.183205
61130,68000510,2020-03-06,6.207838
61293,68000516,2020-03-06,59.170734
61313,68000511,2020-03-06,15.179563
61313,68000511,2020-03-06,26.861079
61313,68000511,2020-03-06,16.97423
61313,68000511,2020-03-06,2.249814
61316,68000511,2020-03-06,9.551969
61316,68000511,2020-03-06,9.666118
61316,68000511,2020-03-06,9.85642
61316,68000511,2020-03-06,50.768613
61320,68000511,2020-03-06,16.774912
61320,68000511,2020-03-06,14.032116
61500,68000510,2020-03-06,19.850495
61500,68000507,2020-03-06,2.503067
61502,68000507,2020-03-06,9.58469
61502,68000507,2020-03-06,7.15772
61502,68000507,2020-03-06,11.854688
61502,68000507,2020-03-06,7.051802
61505,68000508,2020-03-06,2.22339
61512,68000507,2020-03-06,12.827762
61512,68000507,2020-03-06,7.642352
61512,68000507,2020-03-06,10.322052
61512,68000507,2020-03-06,7.599172
61580,68000511,2020-03-06,4.662336
61591,68000511,2020-03-06,4.304608
61913,68000507,2020-03-06,4.979138
62050,68000511,2020-03-06,18.440296
62050,68000511,2020-03-06,10.492209
62050,68000511,2020-03-06,7.745549
62052,68000510,2020-03-06,13.348785
62081,68000514,2020-03-06,33.936
62081,68000514,2020-03-06,16.556
61930,68000512,2020-03-09,7.937795
61931,68000512,2020-03-09,11.078352
61001,68000510,2020-03-10,114.940476
61085,68000512,2020-03-10,16.39098
61101,68000512,2020-03-10,18.944387
