Bill. Date,Purchase Order,Material, Unit price,Tons Invoiced
2020-04-06,68000516,61940,5.22,27.786081
2020-04-06,68000516,61941,5.22,12.115289
2020-04-06,68000516,61566,9.11,132.24317
2020-04-06,68000516,61014,9.11,8.26625
2020-03-19,68000516,61183,9.11,15.33434
2020-03-19,68000516,61016,9.11,82.12394
2020-03-19,68000516,61055,19.54,69.301869
2020-03-19,68000516,61564,19.54,6.669936
2020-03-23,68000516,61014,9.11,19.56326
2020-03-23,68000516,61183,9.11,21.43224
2020-03-23,68000516,61016,9.11,36.25743
2020-03-23,68000516,61580,5.62,2.269568
2020-03-23,68000516,61283,5.62,16.351552
2020-03-23,68000516,61045,7.18,15.527392
2020-03-23,68000516,61047,9.59,19.83852
2020-03-30,68000516,61941,5.22,6.320704
2020-03-30,68000516,61183,9.11,9.12747
2020-03-30,68000516,61016,9.11,9.90403
2020-03-30,68000516,61047,9.59,11.650665
2020-03-30,68000516,61055,19.54,18.817617
2020-05-29,68000516,61862,5.22,2.524451
2020-05-29,68000516,61670,5.62,4.448864
2020-05-29,68000516,61293,7.18,2.204454
2020-05-29,68000516,61047,9.59,2.41917
2020-04-20,68000516,61293,7.18,18.159334
2020-04-20,68000516,61045,7.18,20.938152
2020-04-20,68000516,61047,9.59,149.712615
2020-05-04,68000516,61031,14.62,76.063806
2020-05-04,68000516,61233,14.62,9.537801
2020-05-04,68000516,61670,5.62,8.873536
2020-05-04,68000516,61276,5.62,35.575568
2020-05-04,68000516,61283,5.62,38.081792
2020-05-04,68000516,61047,9.59,19.31514
2020-05-04,68000516,61566,9.11,10.73465
2020-05-04,68000516,61014,9.11,8.3538
2020-05-04,68000516,61031,14.62,76.250538
2020-05-04,68000516,61670,5.62,17.733408
2020-05-04,68000516,61047,9.59,58.047795
2020-04-20,68000515,61099,11.41,74.24837
2020-04-06,68000515,61102,19.35,224.222544
2020-04-06,68000515,61103,19.35,21.842457
2020-03-25,68000515,61089,14.48,163.322523
2020-03-25,68000515,61090,14.48,22.211826
2020-03-25,68000515,61096,8.57,179.724825
2020-03-25,68000515,61097,8.57,18.842775
2020-03-25,68000515,61099,11.41,58.353645
2020-03-25,68000515,61101,11.41,11.166477
2020-04-07,68000514,61080,596.43,31.467
2020-04-07,68000514,53265,519.28,51.967
2020-04-07,68000514,60137,519.28,30.486
2020-04-07,68000514,62070,519.28,74.193
2020-04-07,68000514,62081,738.84,25.355
2020-04-07,68000514,61632,718.84,19.535
2020-04-15,68000514,61080,596.43,20.071
2020-04-15,68000514,60720,519.28,58.046
2020-04-15,68000514,53265,519.28,23.667
2020-04-15,68000514,60137,519.28,45.609
2020-04-15,68000514,62081,738.84,25.137
